rank,title,year,genre,user_rating,rating_count,us_gross_box,review_word_1,review_word_2,review_word_3,review_word_4,review_word_5
39,The Pianist,2002,"drama, history, war",0.95,253230.0,$32.5M,pianist,holocaust,brody,story,polanski
40,Gladiator,2000,"action, adventure, drama, history",0.77,34128168.0,$187.7M,gladiator,russell,crowe,great,another
41,American History X,1998,drama,0.83,479820.0,$6.7M,norton,edward,great,derek,story
42,The Usual Suspects,1995,"crime, drama, mystery, thriller",0.89,434939.0,$22.6M,great,kevin,plot,spacey,suspects
43,Léon: The Professional,1994,"action, crime, drama, mystery, thriller",0.74,274297.0,$19.0M,portman,leon,great,oldman,gary
44,The Lion King,1994,"adventure, animation, family, kids, musical",0.93,1269333.0,$422.8M,animation,watch,huge,even,incredible
45,Terminator 2: Judgment Day,1991,"action, sci",0.93,748974.0,$552.8K,action,terminator,best,time,first
46,Cinema Paradiso,1988,drama,0.9,65549.0,$9.1M,cinema,love,alfredo,paradiso,story
47,Grave of the Fireflies,1988,"anime, drama, war",1.0,68943.0,,ever,fireflies,grave,watch,seen
48,Back to the Future,1985,"adventure, comedy, fantasy, sci",0.96,1095015.0,$247.0K,time,back,future,marty,best
49,Anand,1971,drama,0.96,1887.0,,best,rajesh,khanna,ever,anand
50,Once Upon a Time in the West,1968,western,0.95,65808.0,,western,leone,best,time,sergio
51,Psycho,1960,"horror, mystery, thriller",0.96,240138.0,,hitchcock,horror,psycho,time,best
52,Casablanca,1942,drama,0.99,357516.0,,casablanca,classic,love,time,great
53,Modern Times,1936,comedy,1.0,40234.0,$163.2K,chaplin,classic,modern,filme,many
54,City Lights,1931,"comedy, drama, romance",0.98,27080.0,$18.2K,chaplin,city,lights,charlie,silent
55,Capharnaüm,2018,drama,0.9,1226.0,$1.7M,zain,story,world,best,labaki
56,Ayla: The Daughter of War,2017,"drama, history, war",0.91,43.0,,story,love,True,touchy,ayla
57,Your Name.,2016,"anime, fantasy, romance",0.98,12408.0,,story,anime,beautiful,animation,love
58,Dangal,2016,"action, biography, drama",0.88,2297.0,$12.4M,father,story,dangal,aamir,sports
59,Spider-Man: Into the Spider-Verse,2018,,0.97,20131.0,,spiderman,animation,animated,great,best
60,Avengers: Endgame,2019,"action, adventure, fantasy, sci",0.94,70322.0,$858.4M,avengers,great,endgame,marvel,time
61,Avengers: Infinity War,2018,"action, adventure, fantasy, sci",0.85,58714.0,$678.8M,good,best,even,rotten,tomatoes
62,Coco,2017,"adventure, animation, comedy, family, kids, music",0.97,27939.0,$210.5M,pixar,coco,family,great,story
63,Django Unchained,2012,"action, drama, western",0.87,429220.0,$162.8M,django,tarantino,great,unchained,quentin
64,The Dark Knight Rises,2012,"action, adventure, fantasy, mystery, thriller",0.87,1211946.0,$2,batman,nolan,dark,knight,trilogy
65,3 Idiots,2009,comedy,1.0,22451.0,$6.5M,idiots,best,good,bollywood,well
67,WALL·E,2008,"adventure, animation, comedy, family, fi, kids, sci",0.95,598337.0,,walle,pixar,love,earth,story
68,The Lives of Others,2006,"drama, history",0.93,121675.0,$11.3M,berlin,lives,others,ulrich,without
69,Oldboy,2003,"mystery, thriller",0.82,133443.0,$707.4K,oldboy,story,great,revenge,even
70,Memento,2000,"mystery, thriller",0.93,381031.0,$25.5M,nolan,memento,story,watch,like
71,Princess Mononoke,1997,"adventure, anime, fantasy",0.93,222131.0,,story,miyazaki,mononoke,animation,nature
72,Once Upon a Time in America,1984,"crime, drama",0.87,74939.0,,time,leone,epic,sergio,america
73,Raiders of the Lost Ark,1981,"action, adventure",0.95,826658.0,$248.2M,indiana,jones,action,classic,best
74,The Shining,1980,"horror, mystery, thriller",0.84,481919.0,,horror,jack,time,shining,kubrick
75,Apocalypse Now,1979,"drama, war",0.98,286036.0,$78.8M,vietnam,apocalypse,coppola,made,like
76,Alien,1979,"horror, sci",0.98,459861.0,,alien,horror,time,good,scifi
77,High and Low,1963,"crime, drama",0.95,8359.0,,kurosawa,police,gondo,high,procedural
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,,,,,1,2,3,4,5
79,Witness for the Prosecution,1957,"crime, drama, mystery, thriller",1.0,8968.0,,great,courtroom,laughton,wilder,entertaining
80,Paths of Glory,1957,"drama, war",0.95,35335.0,,kubrick,glory,paths,douglas,kirk
81,Rear Window,1954,"mystery, thriller",0.99,150823.0,$1.6M,hitchcock,window,stewart,kelly,suspense
82,Sunset Blvd.,1950,,,,,1,2,3,4,5
83,The Great Dictator,1940,comedy,0.93,43702.0,,chaplin,dictator,great,barber,jewish
84,1917,2019,"drama, history, war",0.89,,$159.2M,great,story,time,best,like
86,Tumbbad,2018,"fantasy, horror",0.84,677.0,,horror,great,indian,like,watching
87,Andhadhun,2018,"comedy, mystery, thriller",1.0,585.0,$1.3M,dark,raghavan,andhadhun,bollywood,viewers
88,Drishyam,2013,,,,,1,2,3,4,5
89,The Hunt,2012,drama,0.93,21417.0,$611.0K,mikkelsen,hunt,mads,like,good
90,A Separation,2011,,0.99,22864.0,,nader,story,separation,iran,perfect
91,Incendies,2010,drama,0.93,17950.0,$6.9M,villeneuve,incendies,story,denis,like
93,Babam ve Oglum,2005,"comedy, drama",0.97,6168.0,,turkish,dramatic,often,moments,much
94,Toy Story 3,2010,"adventure, animation, comedy, family, fantasy, kids",0.98,607533.0,$415.0M,story,great,toys,best,pixar
95,Inglourious Basterds,2009,"comedy, drama, war",0.89,775867.0,$120.5M,tarantino,waltz,great,christoph,basterds
96,Eternal Sunshine of the Spotless Mind,2004,"romance, sci",0.93,571594.0,$34.1M,eternal,sunshine,time,concept,work
97,Amélie,2001,romance,0.89,469059.0,$33.2M,french,amélie,great,films,amelie
98,Snatch,2000,"comedy, drama",0.73,394510.0,$30.1M,snatch,ritchie,characters,great,good
99,Requiem for a Dream,2000,drama,0.79,328402.0,$3.6M,ever,watch,drugs,addiction,requiem
100,American Beauty,1999,"comedy, drama",0.87,660578.0,$130.1M,american,beauty,spacey,best,kevin
101,Good Will Hunting,1997,drama,0.97,364793.0,$138.3M,damon,williams,robin,matt,good
102,Children of Heaven,1997,,,,,1,2,3,4,5
103,Toy Story,1995,"adventure, animation, comedy, family, fantasy, kids",1.0,1109209.0,,story,animation,great,pixar,animated
104,Braveheart,1995,"biography, drama, history, war",0.78,32708456.0,$75.5M,gibson,wallace,braveheart,best,scenes
105,Reservoir Dogs,1992,"crime, drama",0.92,446395.0,$2.5M,tarantino,great,reservoir,dogs,good
106,Full Metal Jacket,1987,"drama, history, war",0.92,324594.0,$42.9M,kubrick,full,metal,jacket,great
107,Come and See,1985,drama,0.97,8573.0,$70.8K,come,ever,like,seen,watch
108,Aliens,1986,"action, horror, sci",0.97,429669.0,$77.6M,aliens,action,alien,cameron,james
109,Amadeus,1984,"biography, drama, history",0.93,180142.0,,mozart,salieri,amadeus,music,story
110,Scarface,1983,"crime, drama",0.82,488637.0,$656.2K,pacino,best,gangster,time,montana
111,Star Wars: Episode VI - Return of the Jedi,1983,"action, adventure, fantasy, sci",0.82,1013483.0,$309.3M,star,wars,trilogy,jedi,great
112,Das Boot,1981,"drama, war",0.98,47366.0,,submarine,boot,german,crew,ever
113,Taxi Driver,1976,drama,0.96,260582.0,,scorsese,best,niro,taxi,driver
114,The Sting,1973,"comedy, drama",0.94,61731.0,,sting,redford,newman,great,robert
115,A Clockwork Orange,1971,"drama, sci",0.88,436888.0,,kubrick,clockwork,orange,masterpiece,look
116,2001: A Space Odyssey,1968,sci,0.92,299091.0,$1.3M,kubrick,time,like,space,best
117,For a Few Dollars More,1965,western,0.91,60891.0,,good,dollars,also,clint,fistful
118,Lawrence of Arabia,1962,"adventure, biography, drama, history",0.98,75120.0,$6.0M,lawrence,think,like,arabia,otoole
119,The Apartment,1960,"comedy, drama",0.93,38188.0,,apartment,lemmon,wilder,jack,time
120,North by Northwest,1959,"mystery, thriller",0.99,79767.0,,hitchcock,grant,north,northwest,great
121,Vertigo,1958,"mystery, thriller",0.94,102552.0,$1.8M,hitchcock,vertigo,time,story,love
122,Singin' in the Rain,1952,"comedy, musical",1.0,138617.0,$23.9K,musical,rain,great,singin,time
124,Bicycle Thieves,1948,drama,0.98,34208.0,$332.9K,bicycle,thieves,bruno,antonio,italian
125,Double Indemnity,1944,"crime, drama",0.97,35764.0,,noir,wilder,double,indemnity,stanwyck
126,Citizen Kane,1941,drama,1.0,159198.0,$977.3K,kane,citizen,story,welles,best
127,M,1931,"crime, drama, mystery, thriller",1.0,36180.0,$29.6K,lang,fritz,lorre,peter,great
128,Metropolis,1927,"drama, sci",0.97,62873.0,$1.2M,metropolis,time,story,like,lang
129,The Kid,1921,,1.0,15437.0,,chaplin,tramp,charlie,films,comedy
130,Chhichhore,2019,comedy,0.58,278.0,$2.0M,watch,great,good,must,story
131,K.G.F: Chapter 1,2018,,,,,1,2,3,4,5
132,Green Book,2018,"comedy, drama",0.77,10087.0,$85.1M,story,tony,book,great,green
133,"Three Billboards Outside Ebbing, Missouri",2017,"comedy, crime, drama",0.9,22862.0,$54.1M,mcdormand,billboards,great,story,frances
134,Talvar,2015,"crime, drama, mystery, thriller",0.9,496.0,$342.4K,talvar,sword,great,watch,justice
135,Baahubali 2: The Conclusion,2017,"action, adventure, drama, fantasy",0.86,2639.0,$16.3M,baahubali,story,good,watch,action
136,Klaus,2019,"adventure, animation, comedy, family, kids, other",0.94,2037.0,,klaus,animation,like,christmas,great
137,Drishyam,2015,"drama, mystery, thriller",0.8,653.0,,family,drishyam,story,good,well
138,Queen,2013,"adventure, animation, family, fantasy, kids",0.0,290.0,,good,queen,first,much,snow
139,Tangerines,2013,"drama, war",0.88,3467.0,$21.7K,story,soldiers,tangerines,best,would
140,Bhaag Milkha Bhaag,2013,"biography, drama",0.72,1778.0,$1.6M,milkha,farhan,singh,story,akhtar
141,Gangs of Wasseypur,2012,"crime, drama",0.97,1799.0,,kashyap,best,wasseypur,bollywood,anurag
142,Udaan,2010,drama,0.89,1220.0,$7.5K,father,story,rohan,udaan,watch
143,Paan Singh Tomar,2012,action,0.89,560.0,$39.6K,khan,irfan,paan,singh,story
144,The Secret in Their Eyes,2009,,,,,1,2,3,4,5
145,Warrior,2011,"action, drama",0.83,59395.0,$13.7M,great,characters,performance,little,story
146,Shutter Island,2010,"drama, mystery, thriller",0.68,2374216.0,$128.0M,scorsese,dicaprio,island,good,plot
147,Up,2009,"adventure, animation, comedy, family, kids",0.98,1204021.0,,pixar,time,great,story,best
148,The Wolf of Wall Street,2013,"biography, comedy, drama",0.8,180822.0,$116.9M,jordan,scorsese,wall,street,wolf
149,Chak De! India,2007,drama,0.94,13476.0,$1.1M,khan,good,sports,india,team
150,There Will Be Blood,2007,drama,0.92,255190.0,$40.2M,daniel,paul,plainview,daylewis,anderson
151,Pan's Labyrinth,2006,"drama, fantasy, war",0.95,636628.0,$37.6M,toro,fantasy,story,like,guillermo
152,V for Vendetta,2005,"action, mystery, thriller",0.73,904170.0,,evey,good,vendetta,people,great
153,Rang De Basanti,2006,"comedy, drama",0.83,20023.0,$2.2M,india,great,indian,best,story
154,Black,2005,drama,0.67,8312.0,,black,truly,exceptional,starting,music
155,Batman Begins,2005,"action, adventure, fantasy",0.84,1115196.0,$206.9M,batman,start,trilogy,christian,bale
156,Swades,2004,drama,0.83,8896.0,$1.2M,story,best,time,indian,swades
157,Downfall,2004,"drama, history",0.9,70448.0,$5.5M,hitler,ganz,downfall,bruno,days
159,A Beautiful Mind,2001,"biography, drama",0.74,490919.0,$170.7M,plot,john,nash,beautiful,mental
160,Hera Pheri,2000,"comedy, mystery, thriller",0.92,4129.0,,comedy,best,bollywood,paresh,ever
161,"Lock, Stock and Two Smoking Barrels",1998,"comedy, drama",0.75,308166.0,$3.7M,ritchie,characters,smoking,british,lock
162,L.A. Confidential,1997,"crime, drama",0.99,150733.0,$64.6M,great,confidential,noir,good,well
163,The Bandit,1996,,,,,1,2,3,4,5
164,Heat,1995,"crime, drama",0.87,221968.0,$66.2M,heat,pacino,time,niro,action
165,Casino,1995,"crime, drama",0.8,285211.0,$42.4M,scorsese,casino,pesci,best,goodfellas
166,Andaz Apna Apna,1994,"comedy, romance",96.0,8548.0,,comedy,watch,best,salman,aamir
167,Unforgiven,1992,western,0.96,122727.0,$100.0M,great,clint,eastwood,western,characters
168,Indiana Jones and the Last Crusade,1989,"action, adventure",0.88,768534.0,$195.1M,indiana,jones,great,connery,sean
169,My Neighbor Totoro,1988,"anime, fantasy",0.94,90756.0,,totoro,story,kids,much,something
170,Die Hard,1988,"action, mystery, thriller",0.94,573812.0,$80.7M,action,best,hard,christmas,great
171,Ran,1985,"drama, history",0.97,38334.0,$454.0K,kurosawa,shakespeare,king,like,family
172,Raging Bull,1980,"biography, drama",0.93,131403.0,$87.3K,jake,lamotta,scorsese,raging,bull
173,Stalker,1979,"adventure, sci",1.0,25336.0,$258.4K,tarkovsky,stalker,like,zone,time
174,The Message,1976,"drama, history",92.0,6257.0,,islam,prophet,good,must,watch
175,Sholay,1975,adventure,0.91,8246.0,,bollywood,sholay,time,best,classic
176,Monty Python and the Holy Grail,1975,comedy,0.97,644746.0,$1.8M,comedy,python,monty,holy,funny
177,The Great Escape,1963,"drama, war",0.94,103523.0,,escape,great,mcqueen,time,steve
178,To Kill a Mockingbird,1962,drama,92.0,179107.0,,book,kill,mockingbird,atticus,peck
179,Yojimbo,1961,"adventure, comedy",0.95,42374.0,,kurosawa,samurai,fantastic,great,influential
180,Judgment at Nuremberg,1961,drama,0.91,8658.0,,nuremberg,judgment,tracy,like,schell
181,Some Like It Hot,1959,comedy,0.95,82299.0,,like,lemmon,curtis,monroe,marilyn
182,Wild Strawberries,1957,drama,0.95,22662.0,,bergman,life,wild,strawberries,isak
183,The Seventh Seal,1957,"drama, fantasy",0.93,49356.0,,death,seventh,seal,bergman,time
184,Rififi,1955,"crime, drama, mystery, thriller",92.0,6967.0,$57.2K,heist,dassin,rififi,great,scene
185,Dial M for Murder,1954,"crime, drama, mystery, thriller",0.89,38145.0,,hitchcock,murder,grace,like,kelly
186,Tokyo Story,1953,drama,1.0,11745.0,,family,like,parents,would,characters
187,Rashômon,1950,drama,98.0,48150.0,,kurosawa,rashomon,story,samurai,different
188,All About Eve,1950,drama,0.99,45248.0,$10.2K,davis,margo,bette,best,baxter
189,The Treasure of the Sierra Madre,1948,"adventure, drama, western",1.0,26122.0,,bogart,huston,greed,humphrey,treasure
190,To Be or Not to Be,1942,comedy,0.98,6014.0,,lombard,funny,nazi,carole,cast
191,The Gold Rush,1925,"adventure, comedy, drama",1.0,20544.0,,chaplin,gold,rush,comedy,charlie
192,Sherlock Jr.,1924,"comedy, drama",0.96,6938.0,,keaton,buster,sherlock,silent,time
194,Pink,2016,"drama, mystery, thriller",1.0,44.0,$1.2M,taapsee,best,thought,year,great
196,The Invisible Guest,2016,"mystery, thriller",67.0,1278.0,,great,story,good,twist,twists
197,The Handmaiden,2016,"drama, mystery, romance, thriller",0.95,10890.0,$2.0M,handmaiden,story,park,plot,characters
198,Mommy,2014,drama,89.0,7721.0,$3.4M,dolan,mommy,xavier,films,best
199,Haider,2014,drama,0.86,1195.0,$901.6K,haider,kashmir,shahid,vishal,hamlet
200,Logan,2017,"action, adventure, fantasy",0.93,92805.0,$226.3M,logan,wolverine,best,jackman,hugh
201,Room,2015,drama,0.93,49665.0,$14.7M,jack,room,world,nick,película
202,Wild Tales,2014,"comedy, drama",94.0,14388.0,$3.1M,tales,wild,stories,best,szifron
203,Winter Sleep,2014,drama,0.87,5742.0,,winter,sleep,like,long,aydin
204,Baahubali: The Beginning,2015,"action, adventure, drama",0.88,2269.0,$7.7M,indian,story,cinema,good,scenes
205,Gully Boy,2019,"drama, music",0.95,402.0,$5.3M,gully,story,great,bollywood,dialogues
206,PK,2014,"comedy, drama, fantasy",0.77,4462.0,$10.6M,religious,comedy,great,times,best
207,OMG: Oh My God!,2012,"comedy, drama, fantasy",75.0,1726.0,,good,paresh,rawal,people,religion
208,The Grand Budapest Hotel,2014,"comedy, drama",0.91,97542.0,$59.1M,anderson,hotel,grand,budapest,great
209,Gone Girl,2014,"crime, drama, mystery, thriller",0.87,128319.0,$167.8M,good,girl,gone,fincher,like
210,Wolf Children,2012,,,,,1,2,3,4,5
211,Hacksaw Ridge,2016,"biography, drama, history, war",0.84,55590.0,$67.0M,story,garfield,best,andrew,life
212,Inside Out,2015,"animation, comedy, family, fantasy, kids",0.98,136787.0,$2.0M,pixar,inside,great,emotions,story
213,Barfi!,2012,"adventure, comedy, drama",0.86,4904.0,$2.8M,barfi,ranbir,priyanka,story,love
214,12 Years a Slave,2013,"biography, drama, history",0.95,140311.0,$56.7M,slave,years,slavery,story,solomon
215,Rush,2013,"action, drama",0.88,79178.0,$26.9M,rush,like,hemsworth,performances,part
216,Ford v Ferrari,2019,"biography, drama, history",0.92,24149.0,$117.6M,ford,ferrari,great,racing,story
217,Spotlight,2015,drama,0.97,70378.0,$45.0M,story,spotlight,church,best,like
218,Song of the Sea,2014,"adventure, animation, fantasy",99.0,12412.0,$850.0K,story,beautiful,animation,song,great
219,Kahaani,2012,"mystery, thriller",100.0,1302.0,,vidya,balan,kahaani,bollywood,husband
220,Zindagi Na Milegi Dobara,2011,"adventure, comedy, drama",0.92,3889.0,,bollywood,like,friends,good,life
221,Prisoners,2013,"crime, drama, mystery, thriller",0.81,108452.0,$61.0M,jackman,good,villeneuve,hugh,prisoners
222,Mad Max: Fury Road,2015,"action, adventure",0.97,128338.0,$153.6M,action,interesting,like,world,perfeitos
223,A Wednesday,2008,"crime, drama, mystery, thriller",89.0,2666.0,,shah,bollywood,best,naseeruddin,good
224,Gran Torino,2008,drama,81.0,332468.0,$148.1M,eastwood,clint,walt,great,good
225,Harry Potter and the Deathly Hallows: Part 2,2011,"adventure, fantasy",0.96,391916.0,$381.0M,harry,potter,series,best,great
226,Departures,2008,drama,80.0,51962.0,$1.5M,death,japanese,departures,life,beautiful
227,Hachi: A Dog's Tale,2009,drama,0.64,14798.0,,hachi,story,love,parker,professor
228,Mary and Max,2009,"animation, comedy, drama",0.95,25178.0,,despite,emotional,time,directed,differences
229,How to Train Your Dragon,2010,"adventure, animation, comedy, family, fantasy, kids",0.99,312762.0,$217.4M,animation,best,animated,story,amazing
230,Elite Squad,2007,"action, crime, drama, mystery, thriller",0.53,16904.0,$8.1K,elite,police,squad,brazil,action
231,Into the Wild,2007,"adventure, biography, drama",0.83,179450.0,$18.4M,life,wild,story,great,mccandless
232,No Country for Old Men,2007,"crime, drama, mystery, thriller",0.93,399149.0,$74.3M,bardem,coen,brothers,best,country
233,Lage Raho Munna Bhai,2006,romance,90.0,7128.0,,good,gandhi,better,munna,first
234,Million Dollar Baby,2004,drama,0.91,405053.0,$100.4M,eastwood,boxing,swank,clint,great
235,Hotel Rwanda,2004,drama,0.91,241443.0,$23.5M,rwanda,hotel,cheadle,story,people
236,Tae Guk Gi: The Brotherhood of War,2004,"drama, war",0.8,22090.0,$1.1M,saving,ryan,private,korean,story
237,Before Sunset,2004,"drama, romance",0.95,71074.0,$5.8M,romantic,love,real,time,linklater
238,Munna Bhai M.B.B.S.,2003,,,,,1,2,3,4,5
239,Memories of Murder,2003,"crime, drama, mystery, thriller",0.93,11285.0,$14.1K,bong,work,murder,serial,story
240,Dil Chahta Hai,2001,"comedy, drama, romance",95.0,20382.0,,love,best,time,story,khan
241,Kill Bill: Vol. 1,2003,"action, fitness, sports",85.0,32558003.0,$70.1M,tarantino,action,kill,bill,quentin
242,Finding Nemo,2003,"adventure, animation, comedy, family, kids",0.99,33356856.0,,nemo,pixar,finding,great,story
243,Catch Me If You Can,2002,"comedy, crime, drama",0.96,749094.0,$164.4M,hanks,dicaprio,story,spielberg,great
244,Amores Perros,2000,"drama, mystery, thriller",92.0,104287.0,$5.4M,perros,amores,story,stories,alejandro
246,Lagaan: Once Upon a Time in India,2001,"drama, history, romance",0.95,19739.0,$905.9K,bollywood,cricket,lagaan,story,indian
247,The Sixth Sense,1999,"mystery, thriller",0.86,1036682.0,$293.5M,twist,sense,sixth,night,great
248,The Legend of 1900,1998,,,,,1,2,3,4,5
249,The Truman Show,1998,"comedy, drama",0.95,583643.0,$125.6M,truman,show,carrey,life,world
251,The Big Lebowski,1998,comedy,0.83,356264.0,$17.4M,dude,time,lebowski,bridges,watch
252,In the Mood for Love,2000,"drama, romance",90.0,53279.0,$2.7M,love,mood,karwai,wong,story
253,Trainspotting,1996,"comedy, drama",0.91,313721.0,$16.6M,trainspotting,drug,drugs,renton,life
254,Fargo,1996,"comedy, crime, drama, mystery, thriller",0.94,234263.0,$24.5M,fargo,coen,brothers,great,mcdormand
255,Underground,1995,drama,0.86,20813.0,$154.0K,kusturica,underground,marko,epic,yugoslavia
256,La Haine,1995,drama,100.0,40811.0,$130.3K,haine,french,three,like,paris
257,Dilwale Dulhania Le Jayenge,1995,"drama, romance",95.0,20502.0,,bollywood,love,kajol,story,good
258,Before Sunrise,1995,romance,1.0,73504.0,$4.7M,love,like,hawke,romantic,time
259,Three Colors: Red,1994,drama,1.0,35577.0,$858.4K,trilogy,three,colors,kieslowski,films
260,Chungking Express,1994,comedy,87.0,39720.0,$114.9K,love,express,wong,chungking,story
261,Jurassic Park,1993,"action, adventure, fi, mystery, sci, thriller",0.91,1071345.0,$401.8M,great,park,jurassic,time,best
262,In the Name of the Father,1993,drama,0.94,41328.0,$24.6M,father,daniel,story,daylewis,name
263,Raise the Red Lantern,1991,,,,,1,2,3,4,5
264,Dead Poets Society,1989,drama,0.84,307113.0,$94.5M,williams,keating,captain,robin,students
265,The Princess Bride,1987,"adventure, comedy, family, kids",0.97,527616.0,$26.9M,princess,story,bride,love,time
266,Stand by Me,1986,"comedy, drama",0.91,270299.0,$46.7M,stand,great,like,story,body
267,Platoon,1986,"drama, war",0.88,239847.0,$138.5M,vietnam,platoon,stone,sheen,good
268,"Paris, Texas",1984,drama,0.97,24301.0,,stanton,travis,like,texas,paris
270,The Thing,1982,"horror, sci",0.85,132193.0,,thing,carpenter,john,horror,great
271,Pink Floyd: The Wall,1982,"drama, musical",0.69,71373.0,,pink,floyd,music,wall,experience
272,Fitzcarraldo,1982,drama,0.78,12806.0,,herzog,fitzcarraldo,kinski,opera,going
273,Fanny and Alexander,1982,drama,100.0,21384.0,,bergman,alexander,fanny,family,story
274,Blade Runner,1982,"mystery, sci, thriller",0.9,337817.0,$3.9M,films,amazing,best,story,watch
275,The Elephant Man,1980,"biography, drama",0.92,64544.0,,merrick,lynch,john,elephant,hurt
276,Monty Python's Life of Brian,1979,comedy,0.95,258904.0,$150.2K,brian,life,python,comedy,monty
277,The Deer Hunter,1978,"drama, war",0.93,103486.0,,walken,streep,vietnam,niro,best
278,Rocky,1976,drama,0.94,33403994.0,,rocky,stallone,story,great,best
279,Network,1976,"comedy, drama",0.91,36359.0,,network,beale,news,great,dunaway
280,Barry Lyndon,1975,drama,0.91,45078.0,,kubrick,barry,lyndon,stanley,like
281,The Mirror,1975,"biography, drama",1.0,9126.0,,tarkovsky,mirror,like,films,also
282,Chinatown,1974,"crime, drama",0.99,77908.0,,chinatown,nicholson,gittes,polanski,great
283,Paper Moon,1973,comedy,0.92,11402.0,,tatum,oneal,ryan,paper,moon
284,Cries & Whispers,1972,drama,0.9,9251.0,,bergman,cries,whispers,sisters,ingmar
286,Le Samouraï,1967,"crime, drama",100.0,14222.0,$85.2K,delon,melville,alain,samourai,costello
287,Cool Hand Luke,1967,drama,1.0,63694.0,,luke,newman,cool,paul,great
288,Persona,1966,drama,0.9,25841.0,,bergman,persona,even,andersson,like
292,What Ever Happened to Baby Jane?,1962,"horror, mystery, thriller",0.92,33901.0,,davis,bette,jane,crawford,joan
