,rank,title,year,genre,rating_score,rating_count,box gross,review_word_1,review_word_2,review_word_3,review_word_4,review_word_5
20,21,Vikram Vedha,2017,"Action, Crime, Thriller",8.6,25000,,vikram,vedha,killed,simon,innocent
21,22,Interstellar,2014,"Adventure, Drama",8.6,1469460,188020017.0,best,helpful,ever,watched,hundreds
22,23,City of God,2002,"Crime, Drama",8.6,689908,7564459.0,characters,city,life,young,another
23,24,Spirited Away,2001,"Adventure, Animation, Family",8.6,634135,13750644.0,http,favorite,wwwimdbcomlistls,seen,mythical
24,25,Saving Private Ryan,1998,"Drama, War",8.6,1213338,217049603.0,grandfather,ever,watching,sure,life
25,26,The Green Mile,1999,"Crime, Drama, Fantasy",8.6,1122960,136801374.0,ever,mind,even,helpful,expected
26,27,Life Is Beautiful,1997,"Comedy, Drama, Romance",8.6,611005,57563264.0,hope,people,life,love,much
27,28,Se7en,1995,"Crime, Drama, Mystery",8.6,1414947,100125643.0,seen,films,story,well,dark
28,29,The Silence of the Lambs,1991,"Crime, Drama, Thriller",8.6,1245549,130742922.0,lambs,minutes,lecter,asking,everyone
29,30,Star Wars: Episode IV - A New Hope,1977,"Action, Adventure, Fantasy",8.6,1211523,460998507.0,lucas,star,wars,first,journey
30,31,Harakiri,1962,"Action, Drama, Mystery",8.6,38860,,samurai,story,within,tale,flashbacks
31,32,Seven Samurai,1954,"Action, Adventure, Drama",8.6,310580,318649.0,samurai,action,seven,kurosawa,also
32,33,It's a Wonderful Life,1946,"Drama, Family, Fantasy",8.6,391023,,life,ever,everything,think,seen
33,34,Joker,2019,"Crime, Drama, Thriller",8.5,884281,335451311.0,helpful,every,comes,truly,makes
34,35,Whiplash,2014,"Drama, Music",8.5,698254,13092000.0,andrew,teacher,great,dream,maybe
35,36,The Intouchables,2011,"Biography, Comedy, Drama",8.5,742849,10198820.0,films,make,hollywood,like,intimacy
36,37,The Prestige,2006,"Drama, Mystery",8.5,1166060,53089891.0,great,rivalry,tesla,edison,borden
37,38,The Departed,2006,"Crime, Drama, Thriller",8.5,1168281,132384315.0,best,incredibly,helpful,films,century
38,39,The Pianist,2002,"Biography, Drama, Music",8.5,714321,32572577.0,best,films,like,think,pianist
39,40,Gladiator,2000,"Action, Adventure, Drama",8.5,1317653,187705427.0,gladiator,crowe,never,scott,genre
40,41,American History X,1998,Drama,8.5,1020465,6719864.0,masterful,could,helpful,give,edward
41,42,The Usual Suspects,1995,"Crime, Mystery, Thriller",8.5,975724,23341568.0,usual,time,suspects,best,like
42,43,Léon: The Professional,1994,"Action, Crime, Drama",8.5,1015864,19501238.0,original,helpful,watch,beautiful,intimate
43,44,The Lion King,1994,"Adventure, Animation, Drama",8.5,924427,422783777.0,simba,scar,animated,king,still
44,45,Terminator 2: Judgment Day,1991,Action,8.5,981400,205881154.0,terminator,every,sent,connor,john
45,46,Cinema Paradiso,1988,Drama,8.5,225484,12397210.0,cinema,love,alfredo,salvatore,director
46,47,Grave of the Fireflies,1988,"Animation, Drama, War",8.5,228571,516962.0,animated,best,watch,grave,fireflies
47,48,Back to the Future,1985,"Adventure, Comedy",8.5,1036936,211406762.0,time,love,marty,travel,adventure
48,49,Anand,1971,"Drama, Musical",8.5,28957,,rajesh,much,generation,decided,check
49,50,Once Upon a Time in the West,1968,Western,8.5,297909,,http,favorite,wwwimdbcomlistls,better,leone
50,51,Psycho,1960,"Horror, Mystery, Thriller",8.5,592903,32000000.0,hitchcock,anthony,perkins,performance,norman
51,52,Casablanca,1942,"Drama, Romance, War",8.5,513832,4108411.0,watch,greatness,like,people,best
52,53,Modern Times,1936,"Comedy, Drama, Family",8.5,213424,163577.0,http,part,favorite,wwwimdbcomlistls,chaplin
53,54,City Lights,1931,"Comedy, Drama, Romance",8.5,164438,19181.0,tramp,find,chaplin,city,lights
54,55,Capharnaüm,2018,Drama,8.4,56526,1661096.0,zain,ethiopian,message,capharnaum,hated
55,56,Ayla: The Daughter of War,2017,"Biography, Drama, History",8.4,32775,,turkish,watch,thank,helpful,first
56,57,Your Name.,2016,"Animation, Drama, Fantasy",8.4,183609,5017246.0,said,hollywood,remake,helpful,anime
57,58,Dangal,2016,"Action, Biography, Drama",8.4,150388,12391761.0,scenes,fight,best,dialogue,performance
58,59,Spider-Man: Into the Spider-Verse,2018,"Action, Adventure, Animation",8.4,345628,190241310.0,animation,character,like,marvel,spiderham
59,60,Avengers: Endgame,2019,"Action, Adventure, Drama",8.4,773410,858373000.0,like,even,could,marvel,superhero
60,61,Avengers: Infinity War,2018,"Action, Adventure",8.4,807708,678815482.0,helpful,portrays,villain,best,marvel
61,62,Coco,2017,"Adventure, Animation, Family",8.4,359998,210460015.0,pixar,helpful,mexican,thanks,pizax
62,63,Django Unchained,2012,"Drama, Western",8.4,1329514,162805434.0,design,things,tarantino,like,films
63,64,The Dark Knight Rises,2012,"Action, Adventure",8.4,1492029,448139099.0,epic,helpful,christopher,nolan,trilogy
64,65,3 Idiots,2009,"Comedy, Drama",8.4,335768,6532874.0,films,time,like,moments,wonderful
65,66,Taare Zameen Par,2007,"Drama, Family",8.4,163960,1223869.0,thru,kids,aamir,helpful,brings
66,67,WALL·E,2008,"Adventure, Animation, Family",8.4,981789,223808164.0,walle,films,pixar,stanton,story
67,68,The Lives of Others,2006,"Drama, Mystery, Thriller",8.4,352507,11286112.0,stasi,dreyman,german,east,wiesler
68,69,Oldboy,2003,"Action, Drama, Mystery",8.4,505354,707481.0,korean,would,like,daesoo,years
69,70,Memento,2000,"Mystery, Thriller",8.4,1107843,25544867.0,story,reviews,much,afterwards,direction
70,71,Princess Mononoke,1997,"Adventure, Animation, Fantasy",8.4,334885,4845631.0,japanese,miyazake,work,gods,even
71,72,Once Upon a Time in America,1984,"Crime, Drama",8.4,305153,5321508.0,time,music,director,sergio,leone
72,73,Raiders of the Lost Ark,1981,"Action, Adventure",8.4,870991,248159971.0,helpful,action,romance,comedy,giant
73,74,The Shining,1980,"Drama, Horror",8.4,878569,45332952.0,shining,seen,frightening,levels,first
74,75,Apocalypse Now,1979,"Drama, Mystery, War",8.4,595833,83471511.0,kurtz,stop,journey,evil,much
75,76,Alien,1979,Horror,8.4,774988,81765459.0,alien,like,makes,great,sound
76,77,High and Low,1963,"Crime, Drama, Mystery",8.4,32386,46808.0,ransom,gondo,police,kurosawa,kidnapper
77,78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,8.4,444080,9440272.0,http,kubrick,favorite,wwwimdbcomlistls,mean
78,79,Witness for the Prosecution,1957,"Crime, Drama, Mystery",8.4,106154,,films,helpful,give,marks,become
79,80,Paths of Glory,1957,"Drama, War",8.4,174522,,films,kubrick,years,general,trial
80,81,Rear Window,1954,"Mystery, Thriller",8.4,436270,36764313.0,character,dream,helpful,must,signs
81,82,Sunset Blvd.,1950,Drama,8.4,197929,299645.0,norma,gillis,holden,never,hollywood
82,83,The Great Dictator,1940,"Comedy, Drama, War",8.4,199344,,would,drama,laughing,someone,best
83,84,1917,2019,"Drama, War",8.3,380495,159227644.0,watch,protagonists,mission,died,service
84,85,Uri: The Surgical Strike,2018,"Action, Drama, War",8.3,41925,4186168.0,well,classic,right,everyone,helpful
85,86,Tumbbad,2018,"Drama, Fantasy, Horror",8.3,25366,,like,tumbbad,watching,helpful,dont
86,87,Andhadhun,2018,"Crime, Thriller",8.3,67603,1193046.0,rabbit,illusion,ayushman,duck,story
87,88,Drishyam,2013,"Crime, Drama, Thriller",8.3,30020,,makes,amazing,great,jeethu,proved
88,89,The Hunt,2012,Drama,8.3,272884,613308.0,hunt,danish,lucas,story,much
89,90,A Separation,2011,"Drama, Thriller",8.3,215831,7099055.0,separation,much,drama,story,caught
90,91,Incendies,2010,"Drama, Mystery, War",8.3,144986,2071334.0,villeneuve,incendies,nawal,viewer,great
91,92,Yedinci Kogustaki Mucize,2019,Drama,8.3,30262,,amazing,helpful,heartwarming,story,actors
92,93,Babam ve Oglum,2005,"Drama, Family",8.3,76976,,better,find,make,sorrow,people
93,94,Toy Story 3,2010,"Adventure, Animation, Comedy",8.3,744861,415004880.0,best,first,story,high,expectations
94,95,Inglourious Basterds,2009,"Adventure, Drama, War",8.3,1240363,120540719.0,first,heroes,enemy,hypocrisy,review
95,96,Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance",8.3,896879,34400301.0,joel,clementine,mind,memories,romantic
96,97,Amélie,2001,"Comedy, Romance",8.3,694379,33225499.0,amelie,never,around,long,small
97,98,Snatch,2000,"Comedy, Crime",8.3,771175,30328156.0,helpful,boxing,diamonds,gangsters,pretending
98,99,Requiem for a Dream,2000,Drama,8.3,754141,3635482.0,drug,director,aronofsky,burstyn,long
99,100,American Beauty,1999,Drama,8.3,1055145,130096601.0,beauty,american,like,people,look
100,101,Good Will Hunting,1997,"Drama, Romance",8.3,844745,138433435.0,sure,matt,script,like,first
101,102,Children of Heaven,1997,"Drama, Family, Sport",8.3,63377,933933.0,children,simple,shoes,sister,watch
102,103,Toy Story,1995,"Adventure, Animation, Comedy",8.3,871124,222498679.0,buzz,woody,andy,kids,good
103,104,Braveheart,1995,"Biography, Drama, History",8.3,946837,75609945.0,braveheart,helpful,academy,award,winning
104,105,Reservoir Dogs,1992,"Crime, Drama, Thriller",8.3,903291,2832029.0,dogs,reservoir,tarantino,keitel,budget
105,106,Full Metal Jacket,1987,"Drama, War",8.3,663552,46357676.0,vietnam,joker,recruits,camp,hartman
106,107,Come and See,1985,"Drama, Thriller, War",8.3,55869,71909.0,come,even,fact,viewers,half
107,108,Aliens,1986,"Action, Adventure",8.3,643807,85160248.0,love,alien,action,private,ripley
108,109,Amadeus,1984,"Biography, Drama, History",8.3,363552,51973029.0,mozart,amadeus,salieri,laugh,music
109,110,Scarface,1983,"Crime, Drama",8.3,727271,45408703.0,tony,montana,gangster,human,drama
110,111,Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",8.3,934302,309306177.0,many,helpful,totally,least,awards
111,112,Das Boot,1981,"Adventure, Drama, Thriller",8.3,228238,11487676.0,submarine,modern,submariners,professions,like
112,113,Taxi Driver,1976,"Crime, Drama",8.3,709883,28262574.0,travis,character,life,american,power
113,114,The Sting,1973,"Comedy, Crime, Drama",8.3,237968,156000000.0,time,certainly,second,helpful,delicious
114,115,A Clockwork Orange,1971,"Crime, Drama",8.3,745673,26589355.0,glory,helpful,completely,brilliant,amazing
115,116,2001: A Space Odyssey,1968,Adventure,8.3,592777,60541301.0,kubrick,space,even,time,artificial
116,117,For a Few Dollars More,1965,Western,8.3,228458,15000000.0,leone,dollars,westerns,best,western
117,118,Lawrence of Arabia,1962,"Adventure, Biography, Drama",8.3,263620,45306425.0,know,otoole,albert,finney,sense
118,119,The Apartment,1960,"Comedy, Drama, Romance",8.3,160757,,lemmon,remarkable,apartment,wilder,well
119,120,North by Northwest,1959,"Adventure, Mystery, Thriller",8.3,294351,,hitchcock,helpful,sharpest,commerce,delicious
120,121,Vertigo,1958,"Mystery, Romance, Thriller",8.3,356865,7705225.0,still,throughout,years,hitchcock,psycho
121,122,Singin' in the Rain,1952,"Comedy, Musical, Romance",8.3,214965,1826108.0,seen,going,many,gene,kelly
122,123,Ikiru,1952,Drama,8.3,66487,60239.0,even,story,life,heart,beyond
123,124,Bicycle Thieves,1948,Drama,8.3,143164,371111.0,italian,sense,father,films,bicycle
124,125,Double Indemnity,1944,"Crime, Drama",8.3,140972,,walter,phyllis,insurance,wants,time
125,126,Citizen Kane,1941,"Drama, Mystery",8.3,392543,1585634.0,citizen,kane,something,seem,like
126,127,M,1931,"Crime, Mystery, Thriller",8.3,140769,35566.0,beckert,lang,elsie,germany,like
127,128,Metropolis,1927,Drama,8.3,157537,1236166.0,metropolis,story,workers,lang,silent
128,129,The Kid,1921,"Comedy, Drama, Family",8.3,110588,,chaplin,story,coogan,good,makes
129,130,Chhichhore,2019,"Comedy, Drama",8.2,30765,2004400.0,suicide,sushanth,fighter,helpful,watched
130,131,K.G.F: Chapter 1,2018,"Action, Drama",8.2,32739,,rocky,helpful,beautiful,background,score
131,132,Green Book,2018,"Biography, Comedy, Drama",8.2,350650,85080171.0,mortensen,magnetic,characters,helpful,journey
132,133,"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama",8.2,417701,54513740.0,character,well,also,great,screen
133,134,Talvar,2015,"Crime, Drama, Mystery",8.2,30350,342370.0,watch,talvar,irrfan,khan,must
134,135,Baahubali 2: The Conclusion,2017,"Action, Drama",8.2,73275,20186659.0,conclusion,good,helpful,baahubali,quite
135,136,Klaus,2019,"Adventure, Animation, Comedy",8.2,77438,,parts,made,review,helpful,first
136,137,Drishyam,2015,"Crime, Drama, Mystery",8.2,67308,,hero,bollywood,japanese,lost,even
137,138,Queen,2013,"Adventure, Comedy, Drama",8.2,59885,,rani,bahl,queen,give,kangana
138,139,Tangerines,2013,"Drama, War",8.2,38324,144501.0,characters,films,enemy,story,moral
139,140,Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport",8.2,59998,1636731.0,critics,milkha,done,rediff,good
140,141,Gangs of Wasseypur,2012,"Action, Crime, Drama",8.2,79669,,best,acting,everything,helpful,screening
141,142,Udaan,2010,Drama,8.2,41813,7461.0,rohan,father,udaan,life,dreams
142,143,Paan Singh Tomar,2012,"Action, Biography, Crime",8.2,32662,40311.0,paan,army,compliments,dacoit,soldier
143,144,The Secret in Their Eyes,2009,"Drama, Mystery, Romance",8.2,189533,6391436.0,campanella,strength,shot,moments,intense
144,145,Warrior,2011,"Action, Drama, Sport",8.2,430163,13657115.0,point,tommy,rage,brother,father
145,146,Shutter Island,2010,"Mystery, Thriller",8.2,1106212,128012934.0,water,fire,happened,live,wife
146,147,Up,2009,"Adventure, Animation, Comedy",8.2,918370,293004164.0,even,films,funny,perfect,best
147,148,The Wolf of Wall Street,2013,"Biography, Crime, Drama",8.2,1153637,116900694.0,helpful,every,definition,word,impeccable
148,149,Chak De! India,2007,"Drama, Family, Sport",8.2,72806,1120404.0,love,heart,team,would,sport
149,150,There Will Be Blood,2007,Drama,8.2,507316,40222514.0,people,daniel,like,gave,even
150,151,Pan's Labyrinth,2006,"Drama, Fantasy, War",8.2,610618,37634615.0,vidal,fantasy,interpretation,toro,reality
151,152,V for Vendetta,2005,"Action, Drama",8.2,1016309,70511035.0,helpful,watch,every,november,without
152,153,Rang De Basanti,2006,"Comedy, Drama",8.2,109917,2197694.0,director,think,rang,today,part
153,154,Black,2005,Drama,8.2,33022,754819.0,awesome,best,ever,cinematography,helpful
154,155,Batman Begins,2005,"Action, Adventure",8.2,1287885,206852432.0,batman,superhero,thought,good,great
155,156,Swades,2004,Drama,8.2,81865,1223240.0,lagaan,cinema,swades,shahrukh,feel
156,157,Downfall,2004,"Biography, Drama, History",8.2,326810,5509040.0,hitler,german,evil,children,college
157,158,Howl's Moving Castle,2004,"Adventure, Animation, Family",8.2,323901,5576743.0,howl,heart,sophie,probably,story
158,159,A Beautiful Mind,2001,"Biography, Drama",8.2,833934,170742341.0,crowe,nash,role,actors,beautiful
159,160,Hera Pheri,2000,"Action, Comedy, Crime",8.2,55612,,helpful,believe,True,seen,times
160,161,"Lock, Stock and Two Smoking Barrels",1998,"Action, Comedy, Crime",8.2,527873,3753929.0,think,would,seen,serious,characters
161,162,L.A. Confidential,1997,"Crime, Drama, Mystery",8.2,524727,64616940.0,best,confidential,quite,great,story
162,163,The Bandit,1996,"Crime, Drama, Thriller",8.2,62633,,great,difficult,scenes,helpful,cinematography
163,164,Heat,1995,"Crime, Drama, Thriller",8.2,566756,67436818.0,heat,time,take,others,moments
164,165,Casino,1995,"Crime, Drama",8.2,457179,42512375.0,story,found,goodfellas,guys,helpful
165,166,Andaz Apna Apna,1994,"Comedy, Romance",8.2,48627,,aamir,salman,raveena,comedy,films
166,167,Unforgiven,1992,"Drama, Western",8.2,370084,101157447.0,munny,eastwood,unforgiven,little,bill
167,168,Indiana Jones and the Last Crusade,1989,"Action, Adventure",8.2,681398,197171806.0,jones,indiana,last,crusade,indy
168,169,My Neighbor Totoro,1988,"Animation, Family, Fantasy",8.2,282563,2250213.0,miyazaki,humour,well,could,points
169,170,Die Hard,1988,"Action, Thriller",8.2,772434,83519093.0,action,love,mcclane,great,terrorists
170,171,Ran,1985,"Action, Drama, War",8.2,110129,4135750.0,kurosawa,akira,lord,sons,shakespeare
171,172,Raging Bull,1980,"Biography, Drama, Sport",8.2,316407,23383987.0,niro,raging,bull,scorsese,time
172,173,Stalker,1979,Drama,8.2,113638,292049.0,stalker,tarkovsky,thoughts,andrei,films
173,174,The Message,1976,"Biography, Drama, History",8.2,43208,,islam,religions,helpful,beginning,orthodox
174,175,Sholay,1975,"Action, Adventure, Comedy",8.2,50546,,hindi,awesome,remember,character,seven
175,176,Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",8.2,494620,1827696.0,time,made,first,best,opening
176,177,The Great Escape,1963,"Adventure, Drama, History",8.2,221265,,german,british,created,would,american
177,178,To Kill a Mockingbird,1962,"Crime, Drama",8.2,290496,592237.0,kill,mockingbird,screen,scout,never
178,179,Yojimbo,1961,"Action, Drama, Thriller",8.2,108889,46808.0,samurai,kurosawa,mifune,action,handful
179,180,Judgment at Nuremberg,1961,"Drama, War",8.2,68104,,subject,matter,judgement,neuremberg,oscar
180,181,Some Like It Hot,1959,"Comedy, Music, Romance",8.2,239923,,tony,curtis,jack,lemmon,world
181,182,Wild Strawberries,1957,"Drama, Romance",8.2,93976,,bergman,watched,wild,strawberries,away
182,183,The Seventh Seal,1957,"Drama, Fantasy",8.2,161097,,death,antonius,blok,plague,little
183,184,Rififi,1955,"Crime, Drama, Thriller",8.2,27307,517975.0,rififi,heist,sequence,films,dassin
184,185,Dial M for Murder,1954,"Crime, Thriller",8.2,155006,12562.0,grace,kelly,filmed,helpful,forgotten
185,186,Tokyo Story,1953,Drama,8.2,51345,,tomi,shukishi,children,lives,kyoko
186,187,Rashômon,1950,"Crime, Drama, Mystery",8.2,149686,46808.0,samurai,woodcutter,conclusion,truth,work
187,188,All About Eve,1950,Drama,8.2,118681,63463.0,like,davis,bette,margo,mankiewicz
188,189,The Treasure of the Sierra Madre,1948,"Adventure, Drama, Western",8.2,112446,215295.0,bogart,three,gold,huston,dobbs
189,190,To Be or Not to Be,1942,"Comedy, War",8.2,28378,3270000.0,http,time,films,ever,seen
190,191,The Gold Rush,1925,"Adventure, Comedy, Drama",8.2,98731,,scene,rush,chaplin,also,gold
191,192,Sherlock Jr.,1924,"Action, Comedy, Romance",8.2,40447,977375.0,buster,keaton,tricks,dream,camera
192,193,Portrait of a Lady on Fire,2019,"Drama, Romance",8.1,54151,3759854.0,done,crying,cinema,images,picture
193,194,Pink,2016,"Drama, Thriller",8.1,38143,,show,pink,shows,amitabh,helpful
194,195,A Silent Voice: The Movie,2016,"Animation, Drama, Family",8.1,42924,644391.0,characters,silent,voice,feel,beautiful
195,196,The Invisible Guest,2016,"Crime, Drama, Mystery",8.1,131267,,elements,story,music,helpful,past
196,197,The Handmaiden,2016,"Drama, Romance, Thriller",8.1,107312,2006788.0,park,perfect,even,something,never
197,198,Mommy,2014,Drama,8.1,49314,3494070.0,mommy,feelings,dolan,time,idea
198,199,Haider,2014,"Action, Crime, Drama",8.1,49719,1048143.0,times,helpful,haider,mustwatch,phenomenal
199,200,Logan,2017,"Action, Drama",8.1,633571,226277068.0,helpful,words,explain,epicness,greatness
200,201,Room,2015,"Drama, Thriller",8.1,361907,14677654.0,emotions,performance,helpful,marvelous,captivating
201,202,Wild Tales,2014,"Comedy, Drama, Thriller",8.1,172603,3106530.0,tale,makes,theater,tales,humor
202,203,Winter Sleep,2014,Drama,8.1,44454,,aydın,life,talk,local,uykusu
203,204,Baahubali: The Beginning,2015,"Action, Drama",8.1,100891,6738000.0,good,would,baahubali,rajamouli,indian
204,205,Gully Boy,2019,"Drama, Music",8.1,30354,5566534.0,mile,watch,gully,copied,need
205,206,PK,2014,"Comedy, Drama, Musical",8.1,158808,10616104.0,watch,helpful,make,short,quick
206,207,OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",8.1,50318,,akshay,best,perfect,paresh,awesome
207,208,The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",8.1,693054,59301324.0,time,hotel,anderson,gustave,important
208,209,Gone Girl,2014,"Drama, Mystery, Thriller",8.1,841035,167767189.0,helpful,like,keep,guessing,gone
209,210,Wolf Children,2012,"Animation, Drama, Family",8.1,37712,,real,fantasy,love,feels,human
210,211,Hacksaw Ridge,2016,"Biography, Drama, History",8.1,423502,67209615.0,battle,desmond,others,also,helpful
211,212,Inside Out,2015,"Adventure, Animation, Comedy",8.1,598637,356921711.0,riley,depression,pixar,well,character
212,213,Barfi!,2012,"Comedy, Drama, Romance",8.1,74546,2804874.0,barfi,without,love,every,expressions
213,214,12 Years a Slave,2013,"Biography, Drama, History",8.1,629280,56671993.0,slave,slavery,years,character,solomon
214,215,Rush,2013,"Action, Biography, Drama",8.1,425935,26947624.0,like,hunt,actual,cars,battle
215,216,Ford v Ferrari,2019,"Action, Biography, Drama",8.1,267275,117624357.0,cinema,hours,helpful,supposed,amazing
216,217,Spotlight,2015,"Biography, Crime, Drama",8.1,410780,45055776.0,hope,people,could,knew,happen
217,218,Song of the Sea,2014,"Adventure, Animation, Drama",8.1,49805,857522.0,story,song,seen,well,studio
218,219,Kahaani,2012,"Mystery, Thriller",8.1,56865,,would,story,city,watch,kahaani
219,220,Zindagi Na Milegi Dobara,2011,"Comedy, Drama",8.1,66303,3108485.0,hrithik,take,farhan,excellent,holiday
220,221,Prisoners,2013,"Crime, Drama, Mystery",8.1,587217,61002302.0,characters,performances,crime,drama,thriller
221,222,Mad Max: Fury Road,2015,"Action, Adventure",8.1,863994,154058340.0,action,films,miller,george,greatest
222,223,A Wednesday,2008,"Action, Crime, Drama",8.1,73005,,wednesday,reason,story,events,anupam
223,224,Gran Torino,2008,Drama,8.1,711428,148095302.0,eastwood,gran,torino,films,kowalski
224,225,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy",8.1,749295,381409310.0,amazing,series,something,everyone,part
225,226,Departures,2008,"Drama, Music",8.1,47953,1498210.0,dead,daigo,grows,wife,father
226,227,Hachi: A Dog's Tale,2009,"Drama, Family",8.1,248036,,seen,know,probably,years,would
227,228,Mary and Max,2009,"Animation, Comedy, Drama",8.1,162159,,films,people,constant,feels,real
228,229,How to Train Your Dragon,2010,"Action, Adventure, Animation",8.1,655998,217581231.0,shrek,train,dragon,times,actually
229,230,Elite Squad,2007,"Action, Crime, Drama",8.1,97035,8744.0,find,elite,amazingly,good,compare
230,231,Into the Wild,2007,"Adventure, Biography, Drama",8.1,564168,18354356.0,lashing,people,selfish,kind,hurtful
231,232,No Country for Old Men,2007,"Crime, Drama, Thriller",8.1,839081,74283625.0,around,lead,things,reviews,read
232,233,Lage Raho Munna Bhai,2006,"Comedy, Drama, Romance",8.1,42283,2217562.0,munnabhai,great,watch,sanjay,dutt
233,234,Million Dollar Baby,2004,"Drama, Sport",8.1,627187,100492203.0,passion,story,frankie,time,scrap
234,235,Hotel Rwanda,2004,"Biography, Drama, History",8.1,330810,23530892.0,review,rwanda,hotel,conflict,shame
235,236,Tae Guk Gi: The Brotherhood of War,2004,"Action, Drama, War",8.1,37498,1111061.0,korean,since,helpful,hour,long
236,237,Before Sunset,2004,"Drama, Romance",8.1,231071,5820649.0,hawke,first,eyes,delpy,ferry
237,238,Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical",8.1,72558,48772.0,dutt,strict,munna,bhai,sanjay
238,239,Memories of Murder,2003,"Action, Crime, Drama",8.1,131629,15357.0,memories,murder,first,helpful,people
239,240,Dil Chahta Hai,2001,"Comedy, Drama, Romance",8.1,65848,,bollywood,films,like,good,yaadein
240,241,Kill Bill: Vol. 1,2003,"Action, Crime, Thriller",8.1,984418,70099045.0,seen,tarantino,kill,bill,http
241,242,Finding Nemo,2003,"Adventure, Animation, Comedy",8.1,934255,380843261.0,fish,like,story,nemo,animals
242,243,Catch Me If You Can,2002,"Biography, Crime, Drama",8.1,809311,164615351.0,spielberg,dicaprio,moment,perfect,fill
243,244,Amores Perros,2000,"Drama, Thriller",8.1,220614,5408467.0,like,amores,perros,life,family
244,245,Neon Genesis Evangelion: The End of Evangelion,1997,"Action, Animation, Drama",8.1,37191,,episodes,last,watch,series,ever
245,246,Lagaan: Once Upon a Time in India,2001,"Adventure, Drama, Musical",8.1,103299,909043.0,britons,lagaan,village,india,cricket
246,247,The Sixth Sense,1999,"Drama, Mystery, Thriller",8.1,899720,293506292.0,sixth,sense,exactly,obvious,read
247,248,The Legend of 1900,1998,"Drama, Music, Romance",8.1,57956,167435.0,anyone,roth,wonderful,dream,seen
248,249,The Truman Show,1998,"Comedy, Drama",8.1,919328,125618201.0,truman,show,superb,strong,original
249,250,"Crna macka, beli macor",1998,"Comedy, Crime, Romance",8.1,50135,351447.0,time,helpful,extremely,quirky,riddled
250,251,The Big Lebowski,1998,"Comedy, Crime, Sport",8.1,719935,18034458.0,kind,dude,comedy,bowling,http
251,252,In the Mood for Love,2000,"Drama, Romance",8.1,120688,2738980.0,love,mood,romantic,best,leung
252,253,Trainspotting,1996,Drama,8.1,626746,16491080.0,swearing,things,never,point,look
253,254,Fargo,1996,"Crime, Drama, Thriller",8.1,605901,24611975.0,jerry,playing,fargo,gaear,buscemi
